index,question,match_time(s),matched_fields
0,请帮我计算，在20210105，中信行业分类划分的一级行业为综合金融行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,0.309,"A股公司行业划分表-股票代码, A股票日行情表-股票代码, A股公司行业划分表-一级行业名称, A股票日行情表-成交量(股), A股票日行情表-最高价(元), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
1,请帮我查询出20210415日，建筑材料一级行业涨幅超过5%（不包含）的股票数量。,0.05,"A股公司行业划分表-股票代码, A股公司行业划分表-一级行业名称, A股公司行业划分表-二级行业名称, A股票日行情表-股票代码, A股票日行情表-成交量(股), A股公司行业划分表-交易日期, A股票日行情表-成交金额(元), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
2,请查询在2021年度，688338股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,0.05,"A股票日行情表-今开盘(元), A股票日行情表-成交量(股), A股票日行情表-收盘价(元), 港股票日行情表-成交量(股), A股票日行情表-昨收盘(元), A股票日行情表-最高价(元), A股票日行情表-交易日, 港股票日行情表-今开盘(元), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
3,20210304日，一级行业为非银金融的股票的成交量合计是多少？取整。,0.048,"A股票日行情表-成交量(股), 港股票日行情表-成交量(股), A股票日行情表-成交金额(元), 港股票日行情表-成交金额(元), A股票日行情表-交易日, A股公司行业划分表-交易日期, A股公司行业划分表-股票代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
4,嘉实基金管理有限公司2019年成立了多少基金?,0.038,"基金基本信息表-成立日期, 基金基本信息表-管理人, 基金份额持有人结构表-公告日期, 基金规模变动表-公告日期, 基金份额持有人结构表-定期报告所属年度, 基金规模变动表-报告期基金总申购份额, 基金规模变动表-定期报告所属年度, 基金份额持有人结构表-截止日期, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
5,2021年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,0.062,"基金规模变动表-报告期基金总赎回份额, 基金规模变动表-报告期期末基金总份额, 基金规模变动表-报告期基金总申购份额, 基金规模变动表-报告期期初基金总份额, 基金日行情表-资产净值, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
6,"请帮我查询下，在20190605，中信行业分类里一级行业为石油石化行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",0.075,"A股公司行业划分表-股票代码, A股票日行情表-成交金额(元), 港股票日行情表-成交金额(元), A股票日行情表-成交量(股), A股公司行业划分表-交易日期, 港股票日行情表-成交量(股), A股公司行业划分表-一级行业名称, A股票日行情表-股票代码, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
7,股票002244在20191220日期中的收盘价是多少?（小数点保留3位）,0.05,"A股票日行情表-收盘价(元), A股票日行情表-昨收盘(元), 港股票日行情表-收盘价(元), 港股票日行情表-昨收盘(元), A股票日行情表-今开盘(元), A股票日行情表-交易日, 基金股票持仓明细表-股票代码, A股票日行情表-成交金额(元), 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度"
8,请问2019年三季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,0.056,"基金规模变动表-报告期基金总申购份额, 基金规模变动表-报告期基金总赎回份额, 基金规模变动表-报告期期末基金总份额, 基金规模变动表-报告期期初基金总份额, 基金股票持仓明细表-数量, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-机构投资者持有的基金份额占总份额比例"
9,帮我查一下湘财长弘灵活配置混合A基金在20210419的资产净值和单位净值是多少?,0.045,"基金日行情表-资产净值, 基金日行情表-单位净值, 基金可转债持仓明细表-市值占基金资产净值比, 基金可转债持仓明细表-市值, 基金日行情表-复权单位净值, 基金股票持仓明细表-市值占基金资产净值比, 基金债券持仓明细表-持债市值, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
10,我想知道安信稳健回报6个月持有期混合A基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,0.078,"基金可转债持仓明细表-第N大重仓股, 基金可转债持仓明细表-基金简称, 基金可转债持仓明细表-市值, 基金可转债持仓明细表-市值占基金资产净值比, 基金可转债持仓明细表-数量, 基金债券持仓明细表-第N大重仓股, 基金可转债持仓明细表-所在证券市场, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例"
11,2019年中期报告里，华夏基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,0.067,"基金份额持有人结构表-机构投资者持有的基金份额占总份额比例, 基金份额持有人结构表-机构投资者持有的基金份额, 基金份额持有人结构表-个人投资者持有的基金份额占总份额比例, 基金份额持有人结构表-个人投资者持有的基金份额, 基金份额持有人结构表-公告日期, 基金规模变动表-报告期期末基金总份额, 基金份额持有人结构表-截止日期, 基金份额持有人结构表-报告类型, 基金份额持有人结构表-定期报告所属年度, 基金份额持有人结构表-基金简称"
