index,question,generated_sql,first_value,sql_gen_time(s),success,res_count,error
0,"我想了解广发中证央企创新驱动ETF基金,在2020年一季度的季报第6大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。","SELECT ROUND(((a.""收盘价(元)"" - a.""昨收盘(元)"") / a.""昨收盘(元)"") * 100, 2) AS 涨跌幅
FROM 基金股票持仓明细表 h
JOIN A股票日行情表 a ON h.""股票代码"" = a.""股票代码""
WHERE h.""基金简称"" = '广发中证央企创新驱动ETF'
  AND h.""第N大重仓股"" = 6
  AND h.""持仓日期"" LIKE '20200331'
  AND a.""交易日"" = (
    SELECT MAX(""交易日"")
    FROM A股票日行情表
    WHERE ""交易日"" <= '20200331'
      AND ""交易日"" >= '20200101'
      AND ""股票代码"" = h.""股票代码""
  )
LIMIT 1;",{'涨跌幅': -3.15},1.702,1,1,
1,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2021年，申万行业分类行业划分标准,银行一级行业中, 代码为多少的股票的日均收益率最高？","SELECT a.""股票代码""
FROM ""A股公司行业划分表"" a
JOIN ""A股票日行情表"" d ON a.""股票代码"" = d.""股票代码""
WHERE a.""行业划分标准"" = '申万行业分类'
  AND a.""一级行业名称"" = '银行'
  AND strftime('%Y', d.""交易日"") = '2021'
GROUP BY a.""股票代码""
ORDER BY AVG((d.""收盘价(元)"" - d.""昨收盘(元)"") / d.""昨收盘(元)"") DESC
LIMIT 1;",NO_DATA,1.333,1,0,
2,20200706日，一级行业为机械的股票的成交金额合计是多少？取整。,"SELECT ROUND(SUM(t1.""成交金额(元)"")) 
FROM ""A股票日行情表"" t1
JOIN ""A股公司行业划分表"" t2 
ON t1.""股票代码"" = t2.""股票代码"" 
WHERE t1.""交易日"" = 20200706 
AND t2.""一级行业名称"" = '机械' 
AND t2.""交易日期"" <= 20200706 
AND (
    SELECT MAX(t2_inner.""交易日期"") 
    FROM ""A股公司行业划分表"" t2_inner 
    WHERE t2_inner.""股票代码"" = t2.""股票代码"" 
    AND t2_inner.""交易日期"" <= 20200706
) = t2.""交易日期"";",ERROR: 执行超时（5秒）,1.778,0,0,执行超时（5秒）
3,我想知道股票300819在申万行业分类下的二级行业是什么？用最新的数据。,"SELECT ""二级行业名称"" 
FROM ""A股公司行业划分表"" 
WHERE ""股票代码"" = '300819' 
  AND ""行业划分标准"" = '申万行业分类' 
ORDER BY ""交易日期"" DESC 
LIMIT 1;",{'二级行业名称': '纺织制造'},0.972,1,1,
4,我想知道博时价值臻选两年持有期灵活配置混合C基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,"SELECT 
    COUNT(*) 
FROM (
    SELECT DISTINCT s.""股票代码""
    FROM ""基金股票持仓明细表"" s
    JOIN ""A股票日行情表"" r1 ON s.""股票代码"" = r1.""股票代码"" AND strftime('%Y', r1.""交易日"") = '2021'
    WHERE s.""基金简称"" = '博时价值臻选两年持有期灵活配置混合C'
      AND s.""报告类型"" = '年度报告'
      AND s.""第N大重仓股"" <= 10
      AND r1.""收盘价(元)"" > r1.""昨收盘(元)""
) t;",{'COUNT(*)': 0},1.111,1,1,
5,我想知道股票600322在申万行业分类下的二级行业是什么？用最新的数据。,"SELECT ""二级行业名称""
FROM ""A股公司行业划分表""
WHERE ""股票代码"" = '600322'
  AND ""行业划分标准"" = '申万行业分类'
ORDER BY ""交易日期"" DESC
LIMIT 1;",{'二级行业名称': '房地产开发'},0.828,1,1,
6,20200923日，一级行业为建筑的股票的成交量合计是多少？取整。,"SELECT CAST(SUM(t1.""成交量(股)"") AS INTEGER) AS total_volume  
FROM ""A股票日行情表"" t1  
JOIN ""A股公司行业划分表"" t2  
ON t1.""股票代码"" = t2.""股票代码""  
WHERE t1.""交易日"" = '20200923'  
AND t2.""一级行业名称"" = '建筑'  
AND t2.""交易日期"" <= '20200923'  
AND (t2.""行业划分标准"" IS NULL OR t2.""行业划分标准"" != '最新'  
OR NOT EXISTS (  
    SELECT 1 FROM ""A股公司行业划分表"" t3  
    WHERE t3.""股票代码"" = t2.""股票代码""  
    AND t3.""交易日期"" > t2.""交易日期""  
    AND t3.""交易日期"" <= '20200923'  
));",{'total_volume': 884711256525},1.382,1,1,
7,大成景乐纯债债券C基金在20210331的季报里，前三大持仓占比的债券名称是什么?,"SELECT ""债券名称""
FROM (
    SELECT ""债券名称"", ""持债市值占基金资产净值比"", ""第N大重仓股""
    FROM ""基金债券持仓明细表""
    WHERE ""基金简称"" = '大成景乐纯债债券C'
      AND ""持仓日期"" = '20210331'
      AND (""第N大重仓股"" = 1 OR ""第N大重仓股"" = 2 OR ""第N大重仓股"" = 3)
    
    UNION ALL
    
    SELECT ""债券名称"", ""市值占基金资产净值比"", ""第N大重仓股""
    FROM ""基金可转债持仓明细表""
    WHERE ""基金简称"" = '大成景乐纯债债券C'
      AND ""持仓日期"" = '20210331'
      AND (""第N大重仓股"" = 1 OR ""第N大重仓股"" = 2 OR ""第N大重仓股"" = 3)
) AS top3_bonds
ORDER BY ""第N大重仓股""
LIMIT 3;",NO_DATA,1.458,1,0,
8,20211207日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,"SELECT ""股票代码""
FROM (
    SELECT ""股票代码"", ""成交金额(元)""
    FROM ""A股票日行情表""
    WHERE ""交易日"" = '20211207'
    ORDER BY ""成交金额(元)"" DESC
    LIMIT 3
);",{'股票代码': '300750'},0.776,1,3,
9,请问股票代码为002771的股票在2021年内日成交量低于该股票当年平均日成交量的有多少个交易日？,"SELECT COUNT(*) 
FROM ""A股票日行情表""
WHERE ""股票代码"" = '002771' 
  AND strftime('%Y', ""交易日"") = '2021' 
  AND ""成交量(股)"" < (
    SELECT AVG(""成交量(股)"")
    FROM ""A股票日行情表""
    WHERE ""股票代码"" = '002771' 
      AND strftime('%Y', ""交易日"") = '2021'
  );",{'COUNT(*)': 0},1.043,1,1,
10,请帮我查询出20190121日，非银行金融一级行业涨幅超过5%（不包含）的股票数量。,"SELECT COUNT(*) 
FROM A股票日行情表 a
JOIN A股公司行业划分表 b ON a.""股票代码"" = b.""股票代码""
WHERE a.""交易日"" = '20190121'
  AND b.""交易日期"" <= '20190121'
  AND b.""一级行业名称"" = '非银行金融'
  AND (a.""收盘价(元)"" - a.""昨收盘(元)"") / a.""昨收盘(元)"" > 0.05;",{'COUNT(*)': 21},0.83,1,1,
